arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,ElasticNetBenchmark,5,1,0,11,1,10
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\linear_model.py,LassoBenchmark,5,1,0,11,1,10
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\manifold.py,TSNEBenchmark,4,1,0,8,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\metrics.py,PairwiseDistancesBenchmark,3,1,0,5,0,3
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\model_selection.py,CrossValidationBenchmark,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\model_selection.py,GridSearchBenchmark,4,1,0,10,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\neighbors.py,KNeighborsClassifierBenchmark,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\asv_benchmarks\benchmarks\svm.py,SVCBenchmark,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\benchmarks\bench_plot_nmf.py,_PGNMF,6,1,0,22,0,5
clones/scikit-learn/scikit-learn\doc\conf.py,SubSectionTitleOrder,3,1,0,11,0,3
clones/scikit-learn/scikit-learn\doc\sphinxext\custom_references_resolver.py,CustomReferencesResolver,2,1,0,15,0,1
clones/scikit-learn/scikit-learn\doc\sphinxext\sphinx_issues.py,IssueRole,4,1,0,22,0,6
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\parse_path.py,CaselessPreservingLiteral,2,1,0,5,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_Constants,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseBaseException,7,1,2,18,1,21
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseException,0,2,0,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseFatalException,0,2,1,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseSyntaxException,0,3,0,0,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,RecursiveGrammarException,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_ParseResultsWithOffset,4,1,0,5,0,6
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseResults,42,1,0,95,2,690
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParserElement,60,1,3,139,12,1617
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_UnboundedCache,1,1,0,6,2,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_FifoCache,2,1,0,13,4,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Token,1,2,11,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Empty,1,3,1,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,NoMatch,2,3,0,5,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Literal,2,3,1,9,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Keyword,4,3,1,13,2,5
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CaselessLiteral,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CaselessKeyword,2,4,0,7,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CloseMatch,2,3,0,10,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Word,3,3,0,20,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Regex,3,3,0,19,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,QuotedString,3,3,0,24,3,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,CharsNotIn,3,3,0,11,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,White,2,3,0,9,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_PositionToken,1,3,7,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,GoToColumn,3,4,0,10,2,3
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,LineStart,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,LineEnd,2,4,0,8,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,StringStart,2,4,0,6,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,StringEnd,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,WordStart,2,4,0,6,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,WordEnd,2,4,0,7,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseExpression,10,2,4,28,10,9
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,And,5,3,0,21,6,9
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_ErrorStop,1,4,0,4,2,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Or,5,3,0,20,4,9
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,MatchFirst,5,3,0,18,3,9
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Each,4,3,0,23,5,5
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ParseElementEnhance,8,2,7,27,10,7
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,FollowedBy,2,3,0,5,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,NotAny,3,3,0,9,2,3
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_MultipleMatch,2,3,2,10,2,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,OneOrMore,1,4,0,3,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,ZeroOrMore,3,4,0,8,2,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_NullToken,2,1,0,2,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Optional,3,3,0,9,1,3
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,SkipTo,2,3,0,13,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Forward,8,3,1,21,7,22
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,_ForwardNoRecurse,1,4,0,1,0,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,TokenConverter,1,3,4,3,1,0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Combine,3,4,0,12,6,2
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Group,2,4,0,4,1,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Dict,2,4,0,12,3,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,Suppress,2,4,0,2,0,1
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,OnlyOnce,3,1,0,6,0,3
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,pyparsing_common,3,1,0,8,1,3
clones/scikit-learn/scikit-learn\examples\applications\plot_out_of_core_classification.py,ReutersParser,16,1,0,24,0,119
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,Model,5,1,0,9,1,10
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,Controller,6,1,0,29,2,12
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,View,8,1,0,41,1,13
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,ControllBar,1,1,0,9,0,0
clones/scikit-learn/scikit-learn\examples\bicluster\plot_bicluster_newsgroups.py,NumberNormalizingVectorizer,1,1,0,6,0,0
clones/scikit-learn/scikit-learn\examples\calibration\plot_calibration_curve.py,NaivelyCalibratedLinearSVC,2,1,0,8,0,1
clones/scikit-learn/scikit-learn\examples\calibration\plot_compare_calibration.py,NaivelyCalibratedLinearSVC,2,1,0,8,0,1
clones/scikit-learn/scikit-learn\examples\cluster\plot_inductive_clustering.py,InductiveClusterer,4,1,0,12,0,3
clones/scikit-learn/scikit-learn\examples\gaussian_process\plot_gpr_on_structured_data.py,SequenceKernel,8,1,0,14,0,27
clones/scikit-learn/scikit-learn\examples\neighbors\approximate_nearest_neighbors.py,NMSlibTransformer,3,1,0,12,0,3
clones/scikit-learn/scikit-learn\examples\neighbors\approximate_nearest_neighbors.py,AnnoyTransformer,5,1,0,20,1,7
clones/scikit-learn/scikit-learn\examples\svm\plot_rbf_parameters.py,MidpointNormalize,2,1,0,5,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,BaseEstimator,14,1,0,68,1,55
clones/scikit-learn/scikit-learn\sklearn\base.py,ClassifierMixin,2,1,0,4,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,RegressorMixin,2,1,0,4,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,ClusterMixin,2,1,0,3,0,1
clones/scikit-learn/scikit-learn\sklearn\base.py,BiclusterMixin,4,1,0,9,0,6
clones/scikit-learn/scikit-learn\sklearn\base.py,TransformerMixin,1,1,0,3,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,_OneToOneFeatureMixin,1,1,0,2,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,_ClassNamePrefixFeaturesOutMixin,1,1,0,3,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,DensityMixin,1,1,0,1,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,OutlierMixin,1,1,0,3,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,MetaEstimatorMixin,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,MultiOutputMixin,1,1,0,1,0,0
clones/scikit-learn/scikit-learn\sklearn\base.py,_UnstableArchMixin,1,1,0,3,0,0
clones/scikit-learn/scikit-learn\sklearn\calibration.py,CalibratedClassifierCV,5,1,0,36,2,7
clones/scikit-learn/scikit-learn\sklearn\calibration.py,_CalibratedClassifier,2,1,0,15,2,1
clones/scikit-learn/scikit-learn\sklearn\calibration.py,_SigmoidCalibration,2,1,0,6,0,1
clones/scikit-learn/scikit-learn\sklearn\calibration.py,CalibrationDisplay,4,1,0,18,0,5
clones/scikit-learn/scikit-learn\sklearn\discriminant_analysis.py,LinearDiscriminantAnalysis,9,1,0,53,2,21
clones/scikit-learn/scikit-learn\sklearn\discriminant_analysis.py,QuadraticDiscriminantAnalysis,7,1,0,32,1,11
clones/scikit-learn/scikit-learn\sklearn\dummy.py,DummyClassifier,8,1,0,44,1,22
clones/scikit-learn/scikit-learn\sklearn\dummy.py,DummyRegressor,6,1,0,28,1,14
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,NotFittedError,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,ChangedBehaviorWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,ConvergenceWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,DataConversionWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,DataDimensionalityWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,EfficiencyWarning,0,1,1,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,FitFailedWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,NonBLASDotWarning,0,2,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,SkipTestWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,UndefinedMetricWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\exceptions.py,PositiveSpectrumWarning,0,1,0,0,0,0
clones/scikit-learn/scikit-learn\sklearn\isotonic.py,IsotonicRegression,10,1,0,41,0,30
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,PolynomialCountSketch,3,1,0,21,0,3
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,RBFSampler,3,1,0,11,0,3
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,SkewedChi2Sampler,3,1,0,14,0,3
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,AdditiveChi2Sampler,6,1,0,23,0,15
clones/scikit-learn/scikit-learn\sklearn\kernel_approximation.py,Nystroem,5,1,0,20,0,9
clones/scikit-learn/scikit-learn\sklearn\kernel_ridge.py,KernelRidge,6,1,0,20,0,14
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,_ConstantPredictor,4,1,0,10,0,6
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,OneVsRestClassifier,12,1,0,60,3,56
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,OneVsOneClassifier,8,1,0,38,2,18
clones/scikit-learn/scikit-learn\sklearn\multiclass.py,OutputCodeClassifier,3,1,0,23,0,2
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,_MultiOutputEstimator,5,1,2,18,0,10
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,MultiOutputRegressor,2,2,0,6,2,0
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,MultiOutputClassifier,6,2,0,20,4,12
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,_BaseChain,3,1,2,27,2,2
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,ClassifierChain,4,2,0,18,3,3
clones/scikit-learn/scikit-learn\sklearn\multioutput.py,RegressorChain,2,2,0,4,1,1
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,_BaseNB,5,1,2,13,2,4
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,GaussianNB,8,2,0,35,0,22
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,_BaseDiscreteNB,11,2,4,41,4,34
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,MultinomialNB,5,3,0,10,0,10
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,ComplementNB,5,3,0,10,0,10
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,BernoulliNB,6,3,0,16,2,14
clones/scikit-learn/scikit-learn\sklearn\naive_bayes.py,CategoricalNB,11,3,0,35,2,49
clones/scikit-learn/scikit-learn\sklearn\pipeline.py,Pipeline,34,1,0,87,6,371
clones/scikit-learn/scikit-learn\sklearn\pipeline.py,FeatureUnion,17,1,0,55,3,70
clones/scikit-learn/scikit-learn\sklearn\random_projection.py,BaseRandomProjection,5,1,2,12,1,9
clones/scikit-learn/scikit-learn\sklearn\random_projection.py,GaussianRandomProjection,2,2,0,6,1,1
clones/scikit-learn/scikit-learn\sklearn\random_projection.py,SparseRandomProjection,2,2,0,7,1,1
clones/scikit-learn/scikit-learn\sklearn\cluster\_affinity_propagation.py,AffinityPropagation,6,1,0,22,0,12
