arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\benchmarks\plot_tsne_mnist.py,30,17,23,0,0,7,0.0,64.74521954595191
clones/scikit-learn/scikit-learn\build_tools\generate_authors_table.py,156,91,105,12,7,32,3.8333333333333335,58.5878245761144
clones/scikit-learn/scikit-learn\build_tools\circle\list_versions.py,97,72,75,9,0,15,4.0,56.51329998766791
clones/scikit-learn/scikit-learn\build_tools\github\check_wheels.py,32,18,18,5,2,7,0.0,87.39267139265014
clones/scikit-learn/scikit-learn\build_tools\github\vendor.py,148,51,97,2,13,35,3.6666666666666665,68.74877048122187
clones/scikit-learn/scikit-learn\doc\conf.py,512,186,255,147,4,115,2.3636363636363638,58.412939563890625
clones/scikit-learn/scikit-learn\doc\conftest.py,109,81,85,7,0,22,3.7,56.46130723986462
clones/scikit-learn/scikit-learn\doc\sphinxext\add_toctree_functions.py,154,44,45,21,59,29,4.0,59.16443629116544
clones/scikit-learn/scikit-learn\doc\sphinxext\custom_references_resolver.py,122,57,64,10,28,19,8.25,73.62332004423081
clones/scikit-learn/scikit-learn\doc\sphinxext\github_link.py,85,47,48,2,18,17,4.333333333333333,77.89864020264405
clones/scikit-learn/scikit-learn\doc\sphinxext\sphinx_issues.py,218,110,130,11,50,28,3.5555555555555554,65.47432537471083
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\parse_path.py,192,92,129,18,7,42,2.375,56.64103309345731
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,5715,2933,2863,162,1822,837,3.4424242424242424,0.0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\svg2imagemap.py,89,55,54,1,18,16,0.0,67.75983302860053
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\languages\fetch_data.py,101,57,72,14,0,18,0.0,66.6602714543136
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\movie_reviews\fetch_data.py,27,18,18,0,0,8,0.0,61.87119949557832
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\twenty_newsgroups\fetch_data.py,27,19,19,0,0,7,0.0,59.44978819839055
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\skeletons\exercise_01_language_train_model.py,62,18,23,16,6,17,0.0,93.86265031904729
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\skeletons\exercise_02_sentiment.py,63,17,18,23,7,15,0.0,77.70567772924785
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\exercise_01_language_train_model.py,70,22,31,16,6,17,0.0,94.50042528278769
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\exercise_02_sentiment.py,79,26,34,23,7,15,0.0,84.98926750555331
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\generate_skeletons.py,38,27,26,0,0,11,0.0,53.8229212963419
clones/scikit-learn/scikit-learn\examples\applications\plot_face_recognition.py,162,70,74,21,22,44,1.5,71.15726293686386
clones/scikit-learn/scikit-learn\examples\applications\plot_model_complexity_influence.py,268,84,120,73,31,43,2.0,69.32025885216896
