arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\benchmarks\bench_sgd_regression.py,152,113,120,4,5,23,0.0,51.79042550130233
clones/scikit-learn/scikit-learn\benchmarks\bench_sparsify.py,106,47,42,5,36,25,1.5,72.52584037246928
clones/scikit-learn/scikit-learn\benchmarks\bench_text_vectorizers.py,74,37,45,0,7,22,1.0,72.91326571030973
clones/scikit-learn/scikit-learn\benchmarks\bench_tree.py,122,81,78,6,11,26,1.0,65.18692981162897
clones/scikit-learn/scikit-learn\benchmarks\bench_tsne_mnist.py,208,103,164,5,5,32,1.2,53.64780245657115
clones/scikit-learn/scikit-learn\benchmarks\plot_tsne_mnist.py,34,17,27,0,0,7,0.0,64.74521954595191
clones/scikit-learn/scikit-learn\build_tools\generate_authors_table.py,170,100,118,12,7,33,4.166666666666667,56.22333817208294
clones/scikit-learn/scikit-learn\build_tools\circle\list_versions.py,118,81,90,10,0,20,3.75,54.390338262191285
clones/scikit-learn/scikit-learn\build_tools\github\check_wheels.py,43,24,26,6,2,9,0.0,81.24414910089588
clones/scikit-learn/scikit-learn\build_tools\github\vendor.py,164,51,113,2,13,35,3.6666666666666665,67.51010220778612
clones/scikit-learn/scikit-learn\doc\conf.py,544,191,280,146,4,119,2.5555555555555554,57.827927683276656
clones/scikit-learn/scikit-learn\doc\conftest.py,160,110,122,13,0,32,3.6923076923076925,53.31937045049072
clones/scikit-learn/scikit-learn\doc\sphinxext\add_toctree_functions.py,160,44,51,21,59,29,4.0,63.54475815249939
clones/scikit-learn/scikit-learn\doc\sphinxext\custom_references_resolver.py,131,57,73,10,28,19,8.25,73.54909974747389
clones/scikit-learn/scikit-learn\doc\sphinxext\doi_role.py,49,27,25,1,14,9,2.3333333333333335,84.0442367028995
clones/scikit-learn/scikit-learn\doc\sphinxext\github_link.py,84,47,47,2,18,17,4.333333333333333,77.99145786646015
clones/scikit-learn/scikit-learn\doc\sphinxext\sphinx_issues.py,219,110,131,11,50,28,3.5555555555555554,65.44996059562192
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\parse_path.py,192,92,129,18,7,42,2.375,56.64103309345731
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,5715,2933,2863,162,1822,837,3.4424242424242424,0.0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\svg2imagemap.py,89,55,54,1,18,16,0.0,67.75983302860053
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\languages\fetch_data.py,101,57,72,14,0,18,0.0,66.6602714543136
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\movie_reviews\fetch_data.py,27,18,18,0,0,8,0.0,61.87119949557832
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\twenty_newsgroups\fetch_data.py,27,19,19,0,0,7,0.0,59.44978819839055
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\skeletons\exercise_01_language_train_model.py,62,18,23,16,6,17,0.0,93.86265031904729
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\skeletons\exercise_02_sentiment.py,63,17,18,23,7,15,0.0,77.70567772924785
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\exercise_01_language_train_model.py,70,22,31,16,6,17,0.0,94.50042528278769
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\exercise_02_sentiment.py,79,26,34,23,7,15,0.0,84.98926750555331
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\generate_skeletons.py,38,27,26,0,0,11,0.0,53.8229212963419
clones/scikit-learn/scikit-learn\examples\applications\plot_cyclical_feature_engineering.py,831,147,321,409,11,91,1.25,55.3542673335498
clones/scikit-learn/scikit-learn\examples\applications\plot_digits_denoising.py,143,33,46,57,16,23,2.0,67.77754011393172
clones/scikit-learn/scikit-learn\examples\applications\plot_face_recognition.py,166,69,75,21,22,47,1.5,71.29463971197947
clones/scikit-learn/scikit-learn\examples\applications\plot_model_complexity_influence.py,289,80,141,74,31,43,2.0,71.36076089767035
clones/scikit-learn/scikit-learn\examples\applications\plot_outlier_detection_wine.py,156,57,87,24,30,19,0.0,84.86191922861188
clones/scikit-learn/scikit-learn\examples\applications\plot_out_of_core_classification.py,430,249,267,49,22,86,1.6666666666666667,46.47815370183761
