arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\examples\decomposition\plot_pca_vs_lda.py,67,27,33,3,15,16,0.0,86.46558775652875
clones/scikit-learn/scikit-learn\examples\decomposition\plot_sparse_coding.py,123,54,81,10,14,17,1.5,68.2606899767146
clones/scikit-learn/scikit-learn\examples\decomposition\plot_varimax_fa.py,78,37,40,8,15,15,0.0,85.95666380115252
clones/scikit-learn/scikit-learn\examples\developing_estimators\sklearn_is_fitted.py,75,23,18,12,31,14,1.3333333333333333,59.234102250420946
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_multiclass.py,252,40,84,119,21,28,1.0,68.36637390170543
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_regression.py,79,26,26,20,15,18,0.0,78.63858344970092
clones/scikit-learn/scikit-learn\examples\ensemble\plot_adaboost_twoclass.py,106,43,69,7,16,14,0.0,78.08870083871258
clones/scikit-learn/scikit-learn\examples\ensemble\plot_bias_variance.py,191,77,79,16,55,45,2.0,65.60398238298109
clones/scikit-learn/scikit-learn\examples\ensemble\plot_ensemble_oob.py,102,25,58,10,17,17,0.0,89.70251991253267
clones/scikit-learn/scikit-learn\examples\ensemble\plot_feature_transformation.py,170,47,71,41,16,42,1.0,100.0
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_hist_grad_boosting_comparison.py,226,51,98,76,23,29,0.0,76.37527330751587
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_importances.py,120,36,46,41,11,22,0.0,81.67816905858096
clones/scikit-learn/scikit-learn\examples\ensemble\plot_forest_iris.py,176,65,89,29,32,30,0.0,72.75914834640992
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_categorical.py,281,58,126,88,22,48,4.0,79.69986967081681
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_early_stopping.py,185,56,74,52,27,32,0.0,73.8243274511751
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_oob.py,143,77,78,14,23,27,2.0,70.80886637971159
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_quantile.py,341,101,138,156,9,40,1.6666666666666667,61.356905619253084
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regression.py,166,49,69,60,16,21,0.0,75.73071218271113
clones/scikit-learn/scikit-learn\examples\ensemble\plot_gradient_boosting_regularization.py,90,27,49,4,18,19,0.0,88.79095443811607
clones/scikit-learn/scikit-learn\examples\ensemble\plot_hgbt_regression.py,429,113,199,154,23,55,1.0,65.79801868351902
clones/scikit-learn/scikit-learn\examples\ensemble\plot_isolation_forest.py,126,40,48,44,13,23,0.0,72.9897907393144
clones/scikit-learn/scikit-learn\examples\ensemble\plot_monotonic_constraints.py,112,33,50,23,16,23,0.0,79.30728687002649
clones/scikit-learn/scikit-learn\examples\ensemble\plot_random_forest_embedding.py,111,60,53,12,22,24,0.0,76.78412997259218
