arquivo,loc,lloc,sloc,comments,multi,blank,average_complexity,maintainability_index
clones/scikit-learn/scikit-learn\benchmarks\bench_sgd_regression.py,151,113,120,4,5,22,0.0,51.79042550130233
clones/scikit-learn/scikit-learn\benchmarks\bench_sparsify.py,107,47,42,5,36,26,1.5,72.52584037246928
clones/scikit-learn/scikit-learn\benchmarks\bench_text_vectorizers.py,73,37,45,0,7,21,1.0,72.91326571030973
clones/scikit-learn/scikit-learn\benchmarks\bench_tree.py,122,81,78,6,11,26,1.0,65.18692981162897
clones/scikit-learn/scikit-learn\benchmarks\bench_tsne_mnist.py,206,103,162,5,5,32,1.2,53.72800836586903
clones/scikit-learn/scikit-learn\benchmarks\plot_tsne_mnist.py,33,17,27,0,0,6,0.0,64.74521954595191
clones/scikit-learn/scikit-learn\build_tools\generate_authors_table.py,249,120,187,15,7,41,4.833333333333333,50.1807204023808
clones/scikit-learn/scikit-learn\build_tools\update_environments_and_lock_files.py,662,164,548,23,28,77,2.7777777777777777,44.04428235891683
clones/scikit-learn/scikit-learn\build_tools\azure\get_commit_message.py,65,26,39,16,0,10,1.5,88.96197041713789
clones/scikit-learn/scikit-learn\build_tools\azure\get_selected_tests.py,34,17,16,2,8,9,2.0,93.45790729858602
clones/scikit-learn/scikit-learn\build_tools\circle\list_versions.py,118,81,90,10,0,20,3.75,54.390338262191285
clones/scikit-learn/scikit-learn\build_tools\github\check_wheels.py,37,22,24,2,2,9,0.0,77.40748189320601
clones/scikit-learn/scikit-learn\build_tools\github\vendor.py,97,37,66,2,4,23,3.0,71.45393448232718
clones/scikit-learn/scikit-learn\doc\conf.py,803,265,473,178,4,160,2.642857142857143,51.049995036871294
clones/scikit-learn/scikit-learn\doc\conftest.py,201,130,141,20,6,42,3.7333333333333334,55.30470368029774
clones/scikit-learn/scikit-learn\doc\sphinxext\add_toctree_functions.py,160,44,51,21,59,29,4.0,63.54475815249939
clones/scikit-learn/scikit-learn\doc\sphinxext\allow_nan_estimators.py,55,42,46,0,0,9,3.25,49.51312975021759
clones/scikit-learn/scikit-learn\doc\sphinxext\doi_role.py,47,27,25,0,14,8,2.3333333333333335,84.05540181035663
clones/scikit-learn/scikit-learn\doc\sphinxext\github_link.py,84,47,47,2,18,17,4.333333333333333,77.99145786646015
clones/scikit-learn/scikit-learn\doc\sphinxext\sphinx_issues.py,217,110,131,10,50,27,3.5555555555555554,65.3948540527755
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\parse_path.py,192,89,129,18,7,42,2.375,56.95510663645954
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\pyparsing.py,5715,2933,2863,162,1822,837,3.4424242424242424,0.0
clones/scikit-learn/scikit-learn\doc\tutorial\machine_learning_map\svg2imagemap.py,111,55,76,1,18,16,0.0,65.36819255212572
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\languages\fetch_data.py,103,60,74,14,0,18,0.0,65.95051545333793
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\data\movie_reviews\fetch_data.py,33,23,22,0,0,10,0.0,58.18334190930991
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\skeletons\exercise_01_language_train_model.py,62,18,23,16,6,17,0.0,93.86265031904729
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\skeletons\exercise_02_sentiment.py,63,17,18,23,7,15,0.0,77.70567772924785
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\exercise_01_language_train_model.py,70,22,31,16,6,17,0.0,94.50042528278769
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\exercise_02_sentiment.py,79,26,34,23,7,15,0.0,84.98926750555331
clones/scikit-learn/scikit-learn\doc\tutorial\text_analytics\solutions\generate_skeletons.py,38,27,26,0,0,11,0.0,53.8229212963419
clones/scikit-learn/scikit-learn\examples\applications\plot_cyclical_feature_engineering.py,827,157,321,413,11,83,2.25,52.763331326778555
clones/scikit-learn/scikit-learn\examples\applications\plot_digits_denoising.py,151,33,53,57,16,24,2.0,72.01764662951202
clones/scikit-learn/scikit-learn\examples\applications\plot_face_recognition.py,161,72,82,27,9,42,1.5,70.32101319038958
clones/scikit-learn/scikit-learn\examples\applications\plot_model_complexity_influence.py,294,79,141,74,35,44,2.0,71.25101784091326
clones/scikit-learn/scikit-learn\examples\applications\plot_outlier_detection_wine.py,137,39,71,30,21,17,0.0,100.0
clones/scikit-learn/scikit-learn\examples\applications\plot_out_of_core_classification.py,435,251,269,50,22,88,1.7083333333333333,46.127395441613
clones/scikit-learn/scikit-learn\examples\applications\plot_prediction_latency.py,348,156,223,15,44,61,2.727272727272727,57.26325647260366
clones/scikit-learn/scikit-learn\examples\applications\plot_species_distribution_modeling.py,248,98,125,27,47,49,2.3333333333333335,65.6347331178997
clones/scikit-learn/scikit-learn\examples\applications\plot_stock_market.py,274,73,155,75,9,35,0.0,68.12881275029858
clones/scikit-learn/scikit-learn\examples\applications\plot_time_series_lagged_features.py,436,129,224,144,13,60,1.5,66.25431305020896
clones/scikit-learn/scikit-learn\examples\applications\plot_tomography_l1_reconstruction.py,145,73,67,7,43,27,1.25,67.45750735852127
clones/scikit-learn/scikit-learn\examples\applications\plot_topics_extraction_with_nmf_lda.py,226,78,164,14,18,30,3.0,63.13511864250754
clones/scikit-learn/scikit-learn\examples\applications\svm_gui.py,383,245,295,7,18,58,2.1153846153846154,40.00925268890762
clones/scikit-learn/scikit-learn\examples\applications\wikipedia_principal_eigenvector.py,234,127,124,23,36,49,4.6,58.89350126659581
clones/scikit-learn/scikit-learn\examples\bicluster\plot_bicluster_newsgroups.py,172,79,108,5,27,32,2.0,66.75619483632165
