arquivo,classe,WMC,DIT,NOC,RFC,CBO,LCOM
clones/django/django\django\contrib\admin\migrations\0001_initial.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\admin\migrations\0002_logentry_remove_auto_add.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\admin\migrations\0003_logentry_add_action_flag_choices.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\admin\templatetags\admin_list.py,ResultList,1,1,0,3,0,0
clones/django/django\django\contrib\admin\templatetags\base.py,InclusionAdminNode,2,1,0,10,0,0
clones/django/django\django\contrib\admin\templatetags\log.py,AdminLogNode,3,1,0,8,0,3
clones/django/django\django\contrib\admin\views\autocomplete.py,AutocompleteJsonView,6,1,0,28,0,0
clones/django/django\django\contrib\admin\views\main.py,ChangeListSearchForm,1,1,0,4,1,0
clones/django/django\django\contrib\admin\views\main.py,ChangeList,15,1,0,94,0,50
clones/django/django\django\contrib\admindocs\apps.py,AdminDocsConfig,0,1,0,0,0,0
clones/django/django\django\contrib\admindocs\middleware.py,XViewMiddleware,1,1,0,6,0,0
clones/django/django\django\contrib\admindocs\views.py,BaseAdminDocsView,2,1,8,8,1,0
clones/django/django\django\contrib\admindocs\views.py,BookmarkletsView,0,2,0,0,0,0
clones/django/django\django\contrib\admindocs\views.py,TemplateTagIndexView,1,2,0,11,1,0
clones/django/django\django\contrib\admindocs\views.py,TemplateFilterIndexView,1,2,0,11,1,0
clones/django/django\django\contrib\admindocs\views.py,ViewIndexView,1,2,0,10,1,0
clones/django/django\django\contrib\admindocs\views.py,ViewDetailView,2,2,0,14,1,0
clones/django/django\django\contrib\admindocs\views.py,ModelIndexView,1,2,0,4,1,0
clones/django/django\django\contrib\admindocs\views.py,ModelDetailView,1,2,0,24,1,0
clones/django/django\django\contrib\admindocs\views.py,TemplateDetailView,1,2,0,10,1,0
clones/django/django\django\contrib\auth\admin.py,GroupAdmin,1,1,0,5,0,0
clones/django/django\django\contrib\auth\admin.py,UserAdmin,8,1,0,46,0,7
clones/django/django\django\contrib\auth\apps.py,AuthConfig,1,1,0,6,0,0
clones/django/django\django\contrib\auth\backends.py,BaseBackend,6,1,1,10,3,9
clones/django/django\django\contrib\auth\backends.py,ModelBackend,12,2,2,43,3,51
clones/django/django\django\contrib\auth\backends.py,AllowAllUsersModelBackend,1,3,0,1,0,0
clones/django/django\django\contrib\auth\backends.py,RemoteUserBackend,3,3,1,8,1,0
clones/django/django\django\contrib\auth\backends.py,AllowAllUsersRemoteUserBackend,1,4,0,1,0,0
clones/django/django\django\contrib\auth\base_user.py,BaseUserManager,3,1,0,8,0,3
clones/django/django\django\contrib\auth\base_user.py,AbstractBaseUser,14,1,0,29,0,81
clones/django/django\django\contrib\auth\base_user.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\auth\context_processors.py,PermLookupDict,5,1,0,10,0,10
clones/django/django\django\contrib\auth\context_processors.py,PermWrapper,5,1,0,9,0,10
clones/django/django\django\contrib\auth\forms.py,ReadOnlyPasswordHashWidget,2,1,0,10,0,1
clones/django/django\django\contrib\auth\forms.py,ReadOnlyPasswordHashField,1,1,0,4,1,0
clones/django/django\django\contrib\auth\forms.py,UsernameField,2,1,0,6,0,0
clones/django/django\django\contrib\auth\forms.py,UserCreationForm,4,1,0,13,2,3
clones/django/django\django\contrib\auth\forms.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\auth\forms.py,UserChangeForm,1,1,0,6,1,0
clones/django/django\django\contrib\auth\forms.py,AuthenticationForm,5,1,0,14,1,7
clones/django/django\django\contrib\auth\forms.py,PasswordResetForm,3,1,0,20,0,2
clones/django/django\django\contrib\auth\forms.py,SetPasswordForm,3,1,1,10,2,2
clones/django/django\django\contrib\auth\forms.py,PasswordChangeForm,1,2,0,3,0,0
clones/django/django\django\contrib\auth\forms.py,AdminPasswordChangeForm,4,1,0,11,2,5
clones/django/django\django\contrib\auth\hashers.py,BasePasswordHasher,9,1,9,19,0,36
clones/django/django\django\contrib\auth\hashers.py,PBKDF2PasswordHasher,6,2,1,18,3,12
clones/django/django\django\contrib\auth\hashers.py,PBKDF2SHA1PasswordHasher,0,3,0,0,0,0
clones/django/django\django\contrib\auth\hashers.py,Argon2PasswordHasher,7,2,0,22,4,11
clones/django/django\django\contrib\auth\hashers.py,BCryptSHA256PasswordHasher,7,2,1,19,3,18
clones/django/django\django\contrib\auth\hashers.py,BCryptPasswordHasher,0,3,0,0,0,0
clones/django/django\django\contrib\auth\hashers.py,ScryptPasswordHasher,6,2,0,17,3,14
clones/django/django\django\contrib\auth\hashers.py,SHA1PasswordHasher,6,2,0,16,3,12
clones/django/django\django\contrib\auth\hashers.py,MD5PasswordHasher,6,2,0,16,3,12
clones/django/django\django\contrib\auth\hashers.py,UnsaltedSHA1PasswordHasher,6,2,0,15,2,14
clones/django/django\django\contrib\auth\hashers.py,UnsaltedMD5PasswordHasher,6,2,0,16,2,14
clones/django/django\django\contrib\auth\hashers.py,CryptPasswordHasher,6,2,0,17,2,15
clones/django/django\django\contrib\auth\middleware.py,AuthenticationMiddleware,1,1,0,5,0,0
clones/django/django\django\contrib\auth\middleware.py,RemoteUserMiddleware,3,1,1,14,0,2
clones/django/django\django\contrib\auth\middleware.py,PersistentRemoteUserMiddleware,0,2,0,0,0,0
clones/django/django\django\contrib\auth\mixins.py,AccessMixin,4,1,3,16,0,3
clones/django/django\django\contrib\auth\mixins.py,LoginRequiredMixin,1,2,0,4,2,0
clones/django/django\django\contrib\auth\mixins.py,PermissionRequiredMixin,3,2,0,12,2,0
clones/django/django\django\contrib\auth\mixins.py,UserPassesTestMixin,3,2,0,9,2,0
clones/django/django\django\contrib\auth\models.py,PermissionManager,1,1,0,4,1,0
clones/django/django\django\contrib\auth\models.py,Permission,2,1,0,3,1,1
clones/django/django\django\contrib\auth\models.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\auth\models.py,GroupManager,1,1,0,2,0,0
clones/django/django\django\contrib\auth\models.py,Group,2,1,0,2,0,1
clones/django/django\django\contrib\auth\models.py,UserManager,4,1,0,22,1,3
clones/django/django\django\contrib\auth\models.py,PermissionsMixin,6,1,1,14,1,14
clones/django/django\django\contrib\auth\models.py,AbstractUser,4,2,1,9,0,6
clones/django/django\django\contrib\auth\models.py,User,0,3,0,0,0,0
clones/django/django\django\contrib\auth\models.py,AnonymousUser,19,1,0,30,1,170
clones/django/django\django\contrib\auth\password_validation.py,MinimumLengthValidator,3,1,0,6,0,3
clones/django/django\django\contrib\auth\password_validation.py,UserAttributeSimilarityValidator,3,1,0,13,0,3
clones/django/django\django\contrib\auth\password_validation.py,CommonPasswordValidator,4,1,0,11,0,6
clones/django/django\django\contrib\auth\password_validation.py,NumericPasswordValidator,2,1,0,5,0,1
clones/django/django\django\contrib\auth\tokens.py,PasswordResetTokenGenerator,9,1,0,26,0,26
clones/django/django\django\contrib\auth\validators.py,ASCIIUsernameValidator,0,1,0,0,0,0
clones/django/django\django\contrib\auth\validators.py,UnicodeUsernameValidator,0,1,0,0,0,0
clones/django/django\django\contrib\auth\views.py,SuccessURLAllowedHostsMixin,1,1,2,2,0,0
clones/django/django\django\contrib\auth\views.py,LoginView,8,2,0,28,5,13
clones/django/django\django\contrib\auth\views.py,LogoutView,4,2,0,19,3,3
clones/django/django\django\contrib\auth\views.py,PasswordContextMixin,1,1,6,4,1,0
clones/django/django\django\contrib\auth\views.py,PasswordResetView,2,2,0,8,2,0
clones/django/django\django\contrib\auth\views.py,PasswordResetDoneView,0,2,0,0,0,0
clones/django/django\django\contrib\auth\views.py,PasswordResetConfirmView,5,2,0,25,4,0
clones/django/django\django\contrib\auth\views.py,PasswordResetCompleteView,1,2,0,4,1,0
clones/django/django\django\contrib\auth\views.py,PasswordChangeView,3,2,0,11,3,0
clones/django/django\django\contrib\auth\views.py,PasswordChangeDoneView,1,2,0,4,1,0
clones/django/django\django\contrib\auth\management\commands\changepassword.py,Command,3,1,0,15,0,3
clones/django/django\django\contrib\auth\management\commands\createsuperuser.py,NotRunningInTTYException,0,1,0,0,0,0
clones/django/django\django\contrib\auth\management\commands\createsuperuser.py,Command,7,1,0,40,0,11
clones/django/django\django\contrib\auth\migrations\0001_initial.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0002_alter_permission_name_max_length.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0003_alter_user_email_max_length.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0004_alter_user_username_opts.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0005_alter_user_last_login_null.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0006_require_contenttypes_0002.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0007_alter_validators_add_error_messages.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0008_alter_user_username_max_length.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0009_alter_user_last_name_max_length.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0010_alter_group_name_max_length.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0011_update_proxy_permissions.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\auth\migrations\0012_alter_user_first_name_max_length.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\contenttypes\admin.py,GenericInlineModelAdminChecks,2,1,0,5,0,1
clones/django/django\django\contrib\contenttypes\admin.py,GenericInlineModelAdmin,1,1,2,14,0,0
clones/django/django\django\contrib\contenttypes\admin.py,GenericStackedInline,0,2,0,0,0,0
clones/django/django\django\contrib\contenttypes\admin.py,GenericTabularInline,0,2,0,0,0,0
clones/django/django\django\contrib\contenttypes\apps.py,ContentTypesConfig,1,1,0,3,0,0
clones/django/django\django\contrib\contenttypes\fields.py,GenericForeignKey,14,1,0,43,1,81
clones/django/django\django\contrib\contenttypes\fields.py,GenericRel,1,1,0,3,1,0
clones/django/django\django\contrib\contenttypes\fields.py,GenericRelation,15,1,0,46,4,77
clones/django/django\django\contrib\contenttypes\fields.py,ReverseGenericManyToOneDescriptor,2,1,0,4,1,1
clones/django/django\django\contrib\contenttypes\forms.py,BaseGenericInlineFormSet,4,1,0,13,0,5
clones/django/django\django\contrib\contenttypes\models.py,ContentTypeManager,9,1,0,27,1,30
clones/django/django\django\contrib\contenttypes\models.py,ContentType,7,1,0,13,0,21
clones/django/django\django\contrib\contenttypes\models.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\contenttypes\management\__init__.py,RenameContentType,4,1,0,14,0,5
clones/django/django\django\contrib\contenttypes\management\commands\remove_stale_contenttypes.py,Command,2,1,0,19,0,1
clones/django/django\django\contrib\contenttypes\management\commands\remove_stale_contenttypes.py,NoFastDeleteCollector,1,1,0,1,0,0
clones/django/django\django\contrib\contenttypes\migrations\0001_initial.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\contenttypes\migrations\0002_remove_content_type_name.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\flatpages\admin.py,FlatPageAdmin,0,1,0,0,0,0
clones/django/django\django\contrib\flatpages\apps.py,FlatPagesConfig,0,1,0,0,0,0
clones/django/django\django\contrib\flatpages\forms.py,FlatpageForm,4,1,0,17,0,3
clones/django/django\django\contrib\flatpages\forms.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\flatpages\middleware.py,FlatpageFallbackMiddleware,1,1,0,2,0,0
clones/django/django\django\contrib\flatpages\models.py,FlatPage,2,1,0,7,0,1
clones/django/django\django\contrib\flatpages\models.py,Meta,0,1,0,0,0,0
clones/django/django\django\contrib\flatpages\sitemaps.py,FlatPageSitemap,1,1,0,6,0,0
clones/django/django\django\contrib\flatpages\migrations\0001_initial.py,Migration,0,1,0,0,0,0
clones/django/django\django\contrib\flatpages\templatetags\flatpages.py,FlatpageNode,2,1,0,6,0,1
clones/django/django\django\contrib\gis\apps.py,GISConfig,1,1,0,2,0,0
clones/django/django\django\contrib\gis\feeds.py,GeoFeedMixin,3,1,3,13,0,2
clones/django/django\django\contrib\gis\feeds.py,GeoRSSFeed,3,2,0,8,4,0
clones/django/django\django\contrib\gis\feeds.py,GeoAtom1Feed,3,2,0,8,3,0
clones/django/django\django\contrib\gis\feeds.py,W3CGeoFeed,3,2,0,8,4,0
clones/django/django\django\contrib\gis\feeds.py,Feed,2,1,0,3,0,1
clones/django/django\django\contrib\gis\measure.py,MeasureBase,21,1,2,35,0,210
clones/django/django\django\contrib\gis\measure.py,Distance,1,2,0,6,0,0
clones/django/django\django\contrib\gis\measure.py,Area,1,2,0,5,0,0
clones/django/django\django\contrib\gis\ptr.py,CPointerBase,3,1,0,8,0,2
clones/django/django\django\contrib\gis\admin\options.py,GeoModelAdminMixin,1,1,1,6,1,0
clones/django/django\django\contrib\gis\admin\options.py,GISModelAdmin,0,2,0,0,0,0
clones/django/django\django\contrib\gis\admin\options.py,GeoModelAdmin,4,1,1,16,1,3
clones/django/django\django\contrib\gis\admin\options.py,OSMGeoAdmin,0,2,0,0,0,0
clones/django/django\django\contrib\gis\admin\widgets.py,OpenLayersWidget,2,1,0,13,0,1
clones/django/django\django\contrib\gis\db\backends\utils.py,SpatialOperator,3,1,0,4,0,3
clones/django/django\django\contrib\gis\db\backends\base\adapter.py,WKTAdapter,5,1,0,7,0,10
clones/django/django\django\contrib\gis\db\backends\base\features.py,BaseSpatialFeatures,12,1,0,13,0,66
clones/django/django\django\contrib\gis\db\backends\base\models.py,SpatialRefSysMixin,16,1,0,22,0,120
clones/django/django\django\contrib\gis\db\backends\base\operations.py,BaseSpatialOperations,16,1,0,31,0,114
clones/django/django\django\contrib\gis\db\backends\mysql\base.py,DatabaseWrapper,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\mysql\features.py,DatabaseFeatures,3,1,0,5,0,3
clones/django/django\django\contrib\gis\db\backends\mysql\introspection.py,MySQLIntrospection,2,1,0,8,0,1
clones/django/django\django\contrib\gis\db\backends\mysql\operations.py,MySQLOperations,9,1,0,22,0,36
clones/django/django\django\contrib\gis\db\backends\mysql\schema.py,MySQLGISSchemaEditor,8,1,0,22,0,0
clones/django/django\django\contrib\gis\db\backends\oracle\adapter.py,OracleSpatialAdapter,4,1,0,15,0,3
clones/django/django\django\contrib\gis\db\backends\oracle\base.py,DatabaseWrapper,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\oracle\features.py,DatabaseFeatures,0,1,0,0,0,0
clones/django/django\django\contrib\gis\db\backends\oracle\introspection.py,OracleIntrospection,2,1,0,9,0,1
clones/django/django\django\contrib\gis\db\backends\oracle\models.py,OracleGeometryColumns,3,1,0,3,0,3
clones/django/django\django\contrib\gis\db\backends\oracle\models.py,Meta,0,1,0,0,0,0
